collection,repunit,grpvec
Big Cr (W AK Cst),W_AK_Cst,30
Cheeneetnuk R,W_AK_Cst,30
Gagaryah R,W_AK_Cst,30
George R Weir,W_AK_Cst,30
Gisasa R,W_AK_Cst,30
Golsovia R,W_AK_Cst,30
Goodnews R - North Fork,W_AK_Cst,30
Kanektok R,W_AK_Cst,30
Kisaralik R,W_AK_Cst,30
Kogrukluk R,W_AK_Cst,30
Kwethluk R,W_AK_Cst,30
Mulchatna R,W_AK_Cst,30
Mulchatna R - Upper Nushagak R,W_AK_Cst,30
Pitka Fork,W_AK_Cst,30
Stony R,W_AK_Cst,30
Stuyahok R,W_AK_Cst,30
Takotna R,W_AK_Cst,30
Tatlawiksuk R,W_AK_Cst,30
Togiak R,W_AK_Cst,30
Tuluksak R,W_AK_Cst,30
Unalakleet R,W_AK_Cst,30
Bedwell R,W_Vancouver_Is,31
Burman R,W_Vancouver_Is,31
Colonial Cr,W_Vancouver_Is,31
Conuma R,W_Vancouver_Is,31
Cypre R,W_Vancouver_Is,31
Gold R,W_Vancouver_Is,31
Kaouk R,W_Vancouver_Is,31
Kennedy R - Lower,W_Vancouver_Is,31
Leiner R,W_Vancouver_Is,31
Marble R,W_Vancouver_Is,31
Megin R,W_Vancouver_Is,31
Moyeha R,W_Vancouver_Is,31
Nahmint R,W_Vancouver_Is,31
Nitinat R,W_Vancouver_Is,31
Robertson Cr,W_Vancouver_Is,31
Stamp R - Above fas,W_Vancouver_Is,31
Tahsis R,W_Vancouver_Is,31
Tahsish R,W_Vancouver_Is,31
Thornton Cr,W_Vancouver_Is,31
Tlupana R,W_Vancouver_Is,31
Toquart R,W_Vancouver_Is,31
Zeballos R,W_Vancouver_Is,31
Forks Cr H,WA_Cst,32
Hoh R,WA_Cst,32
Queets R,WA_Cst,32
Quinault R,WA_Cst,32
Sol Duc R,WA_Cst,32
